institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
UNIVERSITY-OF-KENTUCKY,national-universities,,KY,Lexington,40506,,True,public,,#159,159,True,21,14,95,33406,3.6,2.6,,22735,3.2,1070,46983.0,1070-1290,21-28
UNIVERSITY-OF-LA-VERNE,national-universities,,CA,La Verne,91750,,True,private,,#170,170,True,18,81,75,48300,3.5,,,2414,,970,50023.0,970-1303,18-25
UNIVERSITY-OF-LOUISIANA-AT-LAFAYETTE,national-universities,University of Louisiana Lafayette,LA,Lafayette,70504,,True,public,,#345,345,True,23,,75,24110,3.4,< 2.0,,12950,2.3,1125,,1125-1250,23-27
UNIVERSITY-OF-LOUISIANA-AT-MONROE,national-universities,University of Louisiana Monroe,LA,Monroe,71209,,True,public,,#369,369,True,20,,72,21679,,,,6472,2.0,968,,968-1333,20-25
UNIVERSITY-OF-LOUISVILLE,national-universities,,KY,Louisville,40292,,True,public,,#195,195,True,19,47,80,29174,3.6,2.3,,15921,3.0,1070,38409.0,1070-1270,19-27
UNIVERSITY-OF-LYNCHBURG,national-universities,,VA,Lynchburg,24501,,True,private,,#345,345,True,21,,96,35540,,,,1589,,1000,,1000-1230,21-28
UNIVERSITY-OF-MAINE,national-universities,UMaine,ME,Orono,04469,,True,public,,#249,249,True,22,,94,35346,3.4,2.3,,9774,2.7,1060,,1060-1280,22-30
UNIVERSITY-OF-MAINE-AT-FARMINGTON,regional-colleges-north,UMaine--Farmington University of Maine Farmington,ME,Farmington,04938,north,True,public,,#11,11,False,,56,94,23079,3.2,,,1558,,990,23897.0,990-1245,N/A
UNIVERSITY-OF-MAINE-AUGUSTA,regional-colleges-north,UMaine--Augusta University of Maine Augusta,ME,Augusta,04330,north,True,public,,#41-44,-1,False,,,,19778,,,,4374,,,,N/A,N/A
UNIVERSITY-OF-MAINE-FORT-KENT,regional-colleges-north,UMaine--Fort Kent University of Maine Fort Kent,ME,Fort Kent,04743,north,True,public,,#35,35,True,,,99,14325,,,,1194,,,,N/A,N/A
