institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
ABILENE-CHRISTIAN-UNIVERSITY,national-universities,ACU,TX,Abilene,79699,,True,private,,#320,320,True,20,,66,42380,3.5,2.2,,3189,2.1,1030,,1030-1250,20-27
ABRAHAM-BALDWIN-AGRICULTURAL-COLLEGE,regional-colleges-south,,GA,Tifton,31793,south,True,public,,#57,57,True,16,,75,10071,,,,3814,,940,,940-1130,16-22
ACADEMY-OF-ART-UNIVERSITY,regional-universities-west,,CA,San Francisco,94105,west,True,proprietary,,#105-115,-1,False,,,,32460,,,,5363,,,,N/A,N/A
ADAMS-STATE-UNIVERSITY,regional-universities-west,,CO,Alamosa,81102,west,True,public,,#99,99,False,18,,100,21848,,,,1835,,920,,920-1140,18-23
ADELPHI-UNIVERSITY,national-universities,,NY,Garden City,11530,,True,private,,#163,163,True,22,66,73,47290,3.7,,,5055,2.2,1110,38230.0,1110-1310,22-29
ADRIAN-COLLEGE,regional-colleges-midwest,,MI,Adrian,49221,midwest,True,private,,#29,29,True,17,,69,40556,3.2,,,1747,,940,,940-1160,17-25
ADVENTHEALTH-UNIVERSITY,health,,FL,Orlando,32803,,True,private,,Unranked,-2,False,,,90,20340,,,,1144,,,,N/A,N/A
AGNES-SCOTT-COLLEGE,national-liberal-arts-colleges,,GA,Decatur,30030,,True,private,,#63,63,True,24,73,67,48150,3.8,,,1006,,1130,27124.0,1130-1350,24-31
ALABAMA-A&M-UNIVERSITY,regional-universities-south,Alabama A&M Alabama A & M,AL,Normal,35762,south,True,public,,#98,98,True,15,,68,18634,,2.6,,5206,2.1,840,,840-1030,15-20
ALABAMA-STATE-UNIVERSITY,national-universities,,AL,Montgomery,36101,,True,public,,#395-435,-1,False,16,,97,19396,3,,,3296,,820,,820-1040,16-20
ALASKA-PACIFIC-UNIVERSITY,regional-colleges-west,,AK,Anchorage,99508,west,True,private,,#28,28,False,,,96,20760,,,,376,,,,N/A,N/A
ALBANY-COLLEGE-OF-PHARMACY-AND-HEALTH-SCIENCES,health,,NY,Albany,12208,,True,private,,Unranked,-2,False,,,66,40075,3.7,,,584,,,,N/A,N/A
ALBANY-STATE-UNIVERSITY,regional-universities-south,,GA,Albany,31705,south,True,public,,#100,100,True,14,,86,19902,2.8,,,5833,,810,,810-960,14-17
ALBERTUS-MAGNUS-COLLEGE,regional-universities-north,,CT,New Haven,06511,north,True,private,,#111,111,True,21,,80,39924,3.1,,,987,,880,,880-1070,21-24
ALBION-COLLEGE,national-liberal-arts-colleges,,MI,Albion,49224,,True,private,,#124,124,True,,,67,55746,3.4,,,1454,,,,N/A,N/A
ALBIZU-UNIVERSITY,health,,PR,San Juan,00902,,True,private,,Unranked,-2,False,,,93,7665,,,,667,,,,N/A,N/A
ALBIZU-UNIVERSITY-MIAMI,national-universities,,FL,Miami,,,True,private,,Unranked,-2,False,,,100,13719,,,,179,,,,N/A,N/A
ALBRIGHT-COLLEGE,national-liberal-arts-colleges,,PA,Reading,19612,,True,private,,#146,146,True,,,76,28794,,,,1298,,,,N/A,N/A
ALCORN-STATE-UNIVERSITY,regional-universities-south,,MS,Lorman,39096,south,True,public,,#52,52,True,15,87,30,8549,3.3,,,2346,,903,19488.0,903-1115,15-24
ALDERSON-BROADDUS-UNIVERSITY,regional-colleges-south,Alderson Broaddus Alderson Broaddus College,WV,Philippi,26416,south,True,private,,#68,68,True,14,,61,33260,3.1,,,674,,892,,892-1050,14-22
ALFRED-STATE-COLLEGE-SUNY,regional-colleges-north,SUNY Alfred SUNY College of Technology Alfred,NY,Alfred,14802,north,True,public,,#8,8,False,19,38,82,13112,3,,,3348,,960,25217.0,960-1180,19-25
ALFRED-UNIVERSITY,regional-universities-north,,NY,Alfred,14802,north,True,private,,#69,69,True,25,78,51,39530,3.3,< 2.0,,1347,< 2.0,1085,26422.0,1085-1295,25-30
ALICE-LLOYD-COLLEGE,regional-colleges-south,,KY,Pippa Passes,41844,south,True,private,,#34,34,True,16,87,13,14160,3.3,,,570,,850,17925.0,850-1230,16-22
ALLEGHENY-COLLEGE,national-liberal-arts-colleges,,PA,Meadville,16335,,True,private,,#75,75,True,23,70,64,54960,3.5,,,1353,,1114,41967.0,1114-1372,23-30
ALLEN-COLLEGE,health,,IA,Waterloo,50703,,True,private,,Unranked,-2,False,,,100,20008,,,,314,,,,N/A,N/A
ALLEN-UNIVERSITY,national-liberal-arts-colleges,,SC,Columbia,29204,,True,private,,#186-204,-1,False,,,49,13540,,,,603,,,,N/A,N/A
ALLIANCE-UNIVERSITY,regional-universities-north,,NY,New York,10004,north,True,private,,#151-167,-1,False,18,,100,27500,,,,982,,848,,848-1093,18-24
ALLIANT-INTERNATIONAL-UNIVERSITY,national-universities,,CA,San Diego,92131,,True,proprietary,,Unranked,-2,False,,,100,17130,,,,95,,,,N/A,N/A
ALMA-COLLEGE,regional-colleges-midwest,,MI,Alma,48801,midwest,True,private,,#7,7,False,18,78,65,47430,3.6,,,1245,,965,30157.0,965-1200,18-25
ALPENA-COMMUNITY-COLLEGE,regional-colleges-midwest,,MI,Alpena,49707,midwest,True,public,,Unranked,-2,False,,,,7560,,,,1487,,,,N/A,N/A
ALVERNIA-UNIVERSITY,national-universities,,PA,Reading,19607,,True,private,,#296,296,True,,,59,42810,3.5,,,2018,,995,,995-1170,N/A
ALVERNO-COLLEGE,regional-universities-midwest,,WI,Milwaukee,53234,midwest,True,private,,#56,56,True,15,,90,31858,3.2,,,788,,,,N/A,15-21
AMERICAN-ACADEMY-OF-ART,specialty-arts,,IL,Chicago,60604,,True,private,,Unranked,-2,False,,,,37670,,,,145,,,,N/A,N/A
AMERICAN-COLLEGE-OF-THESSALONIKI,unranked,,,"Thessaloniki, Greece",,,True,private,,Unranked,-2,False,,,,,,,,0,,,,N/A,N/A
AMERICAN-INTERNATIONAL-COLLEGE,national-universities,,MA,Springfield,01109,,True,private,,#395-435,-1,False,,,58,40550,,,,1288,,940,,940-1110,N/A
AMERICAN-SAMOA-COMMUNITY-COLLEGE,regional-colleges-west,,AS,Pago Pago,96799,west,True,public,,Unranked,-2,False,,,,5760,,,,1301,,,,N/A,N/A
AMERICAN-UNIVERSITY,national-universities,,DC,Washington,20016,,True,private,,#105,105,True,29,41,41,56544,,,,7917,3.1,1290,42363.0,1290-1435,29-33
AMERICAN-UNIVERSITY-IN-BULGARIA,unranked,The American University Bulgaria,,Blagoevgrad 2700,,,True,private,,Unranked,-2,False,,,,,,,,0,,,,N/A,N/A
AMERICAN-UNIVERSITY-IN-CAIRO,unranked,The American University Cairo,,New Cairo 11835,,,True,private,,Unranked,-2,False,,,32,,,,,5928,,,,N/A,N/A
AMERICAN-UNIVERSITY-OF-BEIRUT,unranked,,,"Riad El Solh, Beirut",,,True,private,,Unranked,-2,False,,,58,,,,,5797,,,,N/A,N/A
AMERICAN-UNIVERSITY-OF-HEALTH-SCIENCES,health,,CA,Signal Hill,,,True,proprietary,,Unranked,-2,False,,,,24575,,,,369,,,,N/A,N/A
AMERICAN-UNIVERSITY-OF-PARIS,unranked,American University Paris American University Paris,,Paris,75007,,True,private,,Unranked,-2,False,,,,,,,,1018,,,,N/A,N/A
AMERICAN-UNIVERSITY-OF-PUERTO-RICO-BAYAMON,regional-colleges-south,,PR,Bayamon,00960,south,True,private,,#81,81,True,,,,7056,,,,228,,,,N/A,N/A
AMERICAN-UNIVERSITY-OF-PUERTO-RICO-MANATI,regional-colleges-south,American University Puerto Rico American University Puerto Rico,PR,Bayamon,00960,south,True,private,,Unranked,-2,False,,,,7056,,,,273,,,,N/A,N/A
AMERITECH-COLLEGE-DRAPER,health,,UT,Draper,,,True,proprietary,,Unranked,-2,False,,,86,22603,,,,1996,,,,N/A,N/A
AMHERST-COLLEGE,national-liberal-arts-colleges,,MA,Amherst,01002,,True,private,,#2,2,False,32,56,7,67280,,,,1898,,,17257.0,N/A,32-35
ANDERSON-UNIVERSITY,regional-universities-south,,SC,Anderson,29621,south,True,private,,#41,41,True,,,45,33570,3.7,,,3237,,,,N/A,N/A
ANDERSON-UNIVERSITY-(IN),regional-universities-midwest,,IN,Anderson,46012,midwest,True,private,,#67,67,True,17,82,52,35640,3.5,< 2.0,,1129,,980,25148.0,980-1210,17-25
ANDREW-COLLEGE,regional-colleges-south,,GA,Cuthbert,39840,south,True,private,,Unranked,-2,False,,,51,19126,,,,272,,,,N/A,N/A
ANDREWS-UNIVERSITY,national-universities,,MI,Berrien Springs,49104,,True,private,,#320,320,True,20,,91,33710,3.6,< 2.0,,1295,,1092,,1092-1365,20-29
ANGELO-STATE-UNIVERSITY,regional-universities-west,,TX,San Angelo,76909,west,True,public,,#72,72,False,17,,78,21550,3.6,2.1,,9472,< 2.0,910,,910-1130,17-23
ANNA-MARIA-COLLEGE,regional-universities-north,,MA,Paxton,01612,north,True,private,,#151-167,-1,False,,,73,41010,,,,1119,,,,N/A,N/A
ANTELOPE-VALLEY-COLLEGE,regional-colleges-west,,CA,Lancaster,93536,west,True,public,,Unranked,-2,False,,,,7724,,,,11105,,,,N/A,N/A
ANTIOCH-COLLEGE,national-liberal-arts-colleges,,OH,Yellow Springs,45387,,True,private,,#100,100,True,19,,83,37143,,,,127,,,,N/A,19-26
APPALACHIAN-BIBLE-COLLEGE,faith,,WV,Bradley,25818,,True,private,,Unranked,-2,False,,,46,18230,,,,192,,,,N/A,N/A
APPALACHIAN-STATE-UNIVERSITY,regional-universities-south,,NC,Boone,28608,south,True,public,,#3,3,False,21,23,83,25077,3.9,,,18558,2.5,1100,32444.0,1100-1270,21-27
AQUINAS-COLLEGE,national-liberal-arts-colleges,,MI,Grand Rapids,49506,,True,private,,#156,156,True,,,91,38520,,,,1169,,1000,,1000-1180,N/A
ARCADIA-UNIVERSITY,regional-universities-north,,PA,Glenside,19038,north,True,private,,#69,69,True,24,,78,47130,3.4,,,1870,,1088,,1088-1320,24-29
ARIZONA-CHRISTIAN-UNIVERSITY,regional-colleges-west,,AZ,Glendale,85306,west,True,private,,#18,18,True,18,36,70,35047,3.3,,,1082,,1000,43619.0,1000-1200,18-25
ARIZONA-COLLEGE-OF-NURSING-LAS-VEGAS,health,,NV,Las Vegas,,,True,proprietary,,Unranked,-2,False,,,99,21653,,,,946,,,,N/A,N/A
ARIZONA-COLLEGE-OF-NURSING-TEMPE,health,,AZ,Tempe,,,True,proprietary,,Unranked,-2,False,,,,24000,,,,0,,,,N/A,N/A
ARIZONA-STATE-UNIVERSITY,national-universities,ASU,AZ,Tempe,85287,,True,public,,#105,105,True,19,31,90,32193,3.5,3.5,,65492,3.7,1120,45551.0,1120-1370,19-27
ARKANSAS-BAPTIST-COLLEGE,regional-colleges-south,,AR,Little Rock,72202,south,True,private,,#91-99,-1,False,,,73,8760,2.8,,,864,,,,N/A,N/A
ARKANSAS-STATE-UNIVERSITY,national-universities,Arkansas State University Jonesboro Arkansas State University Jonesboro,AR,State University,72467,,True,public,,#361,361,True,19,,70,13312,3.6,2.7,,8201,2.5,980,,980-1200,19-25
ARKANSAS-TECH-UNIVERSITY,regional-universities-south,,AR,Russellville,72801,south,True,public,,#73,73,True,17,,94,17466,3.4,2.4,,8722,2.0,990,,990-1180,17-24
ART-ACADEMY-OF-CINCINNATI,specialty-arts,,OH,Cincinnati,45202,,True,private,,Unranked,-2,False,,,100,37394,,,,234,,,,N/A,N/A
ARTCENTER-COLLEGE-OF-DESIGN,regional-universities-west,,CA,Pasadena,91103,west,True,private,,#26,26,False,,,76,49942,,,,2028,,,,N/A,N/A
ART-INSTITUTE-OF-ATLANTA,regional-colleges-south,,GA,Atlanta,30328,south,True,proprietary,,#91-99,-1,False,,,,20794,,,,586,,,,N/A,N/A
ART-INSTITUTE-OF-HOUSTON,regional-colleges-west,,TX,Houston,77056,west,True,proprietary,,#41,41,False,,,,20794,,,,386,,,,N/A,N/A
ASBURY-UNIVERSITY,regional-universities-south,,KY,Wilmore,40390,south,True,private,,#24,24,True,20,69,96,33640,3.8,,,1404,,1060,24696.0,1060-1320,20-27
ASHLAND-UNIVERSITY,regional-universities-midwest,,OH,Ashland,44805,midwest,True,private,,#35,35,True,20,73,60,28910,3.6,,,5109,,1073,25514.0,1073-1250,20-26
ASPEN-UNIVERSITY,health,,CO,Phoenix,,,True,proprietary,,Unranked,-2,False,,,,5355,,,,6385,,,,N/A,N/A
ASSUMPTION-UNIVERSITY,regional-universities-north,,MA,Worcester,01609,north,True,private,,#54,54,True,,75,82,49414,3.5,,,1705,,,34954.0,N/A,N/A
ATENAS-COLLEGE,health,,PR,Manati,,,True,private,,Unranked,-2,False,,,,8198,,,,574,,,,N/A,N/A
ATLANTA-METROPOLITAN-STATE-COLLEGE,regional-colleges-south,,GA,Atlanta,30310,south,True,public,,Unranked,-2,False,,,,9731,,,,1605,,,,N/A,N/A
AUBURN-UNIVERSITY,national-universities,AU,AL,Auburn,36849,,True,public,,#93,93,True,25,15,44,33944,,3.1,,25379,3.3,1240,43795.0,1240-1390,25-31
AUBURN-UNIVERSITY-AT-MONTGOMERY,regional-universities-south,Auburn University Montgomery Auburn University Montgomery,AL,Montgomery,36124,south,True,public,,#63,63,True,18,20,92,25000,3.4,,,3757,2.4,990,25140.0,990-1200,18-25
AUGSBURG-UNIVERSITY,regional-universities-midwest,,MN,Minneapolis,55454,midwest,True,private,,#17,17,True,17,,77,42064,,,,2358,,1188,,1188-1376,17-24
AUGUSTANA-COLLEGE,national-liberal-arts-colleges,,IL,Rock Island,61201,,True,private,,#100,100,True,21,66,61,49834,3.4,,,2318,,1020,31866.0,1020-1250,21-28
AUGUSTANA-UNIVERSITY,regional-universities-midwest,,SD,Sioux Falls,57197,midwest,True,private,,#17,17,True,21,55,66,39190,3.7,,,1831,,1110,23892.0,1110-1325,21-28
AUGUSTA-UNIVERSITY,national-universities,,GA,Augusta,30912,,True,public,,#332,332,True,19,,86,22270,,,,5396,2.1,,,N/A,19-26
AULTMAN-COLLEGE-OF-NURSING-AND-HEALTH-SCIENCES,health,,OH,Canton,,,True,private,,Unranked,-2,False,,,32,19310,,,,259,,,,N/A,N/A
AURORA-UNIVERSITY,national-universities,,IL,Aurora,60506,,True,private,,#303,303,True,19,,86,27420,,,,4114,,960,,960-1130,19-24
AUSTIN-COLLEGE,national-liberal-arts-colleges,,TX,Sherman,75090,,True,private,,#93,93,True,23,65,55,46025,3.6,,,1169,,1130,25948.0,1130-1360,23-29
AUSTIN-COMMUNITY-COLLEGE-DISTRICT,unranked,,TX,,,,True,public,,Unranked,-2,False,,,,10590,,,,35609,,,,N/A,N/A
AUSTIN-PEAY-STATE-UNIVERSITY,regional-universities-south,,TN,Clarksville,37044,south,True,public,,#33,33,True,18,,94,14305,3.3,2.0,,8120,,,,N/A,18-24
AVE-MARIA-UNIVERSITY,national-liberal-arts-colleges,,FL,Ave Maria,34142,,True,private,,#182,182,True,,,44,28224,,,,1251,,,,N/A,N/A
AVERETT-UNIVERSITY,regional-colleges-south,,VA,Danville,24541,south,True,private,,#15,15,True,17,74,76,38550,3,,,1122,,910,27647.0,910-1155,17-22
AVILA-UNIVERSITY,regional-universities-midwest,,MO,Kansas City,64145,midwest,True,private,,#109,109,True,17,,68,22390,,,,1024,,933,,933-1160,17-23
AZUSA-PACIFIC-UNIVERSITY,national-universities,,CA,Azusa,91702,,True,private,,#236,236,True,23,,87,42330,3.8,2.1,,2588,,1045,,1045-1280,23-28
BABSON-COLLEGE,specialty-business,,MA,Babson Park,02457,,True,private,,Unranked,-2,False,,,22,56032,,,,2761,3.5,,,N/A,N/A
BACONE-COLLEGE,regional-colleges-west,,OK,Muskogee,74403,west,True,private,,#45-48,-1,False,14,,55,15060,,,,266,,938,,938-1033,14-17
BAKER-COLLEGE,regional-universities-midwest,,MI,Owosso,48867,midwest,True,private,,#149-164,-1,False,,,37,12710,3.2,< 2.0,,3778,,,,N/A,N/A
BAKERSFIELD-COLLEGE,regional-colleges-west,,CA,Bakersfield,93305,west,True,public,,Unranked,-2,False,,,,9560,,,,24479,,,,N/A,N/A
BAKER-UNIVERSITY,national-universities,,KS,Baldwin City,66006,,True,private,,#345,345,True,17,,92,33800,3.3,,,1187,,1000,,1000-1200,17-23
BALDWIN-WALLACE-UNIVERSITY,regional-universities-midwest,Baldwin Wallace College,OH,Berea,44017,midwest,True,private,,#6,6,True,20,70,77,37538,,,,2744,,1043,31120.0,1043-1298,20-27
BALL-STATE-UNIVERSITY,national-universities,,IN,Muncie,47306,,True,public,,#216,216,True,23,19,69,28766,3.6,,,14416,2.7,1090,37806.0,1090-1260,23-28
BAPTIST-BIBLE-COLLEGE,faith,,MO,Springfield,65803,,True,private,,Unranked,-2,False,,,,15690,,,,236,,,,N/A,N/A
BAPTIST-COLLEGE-OF-FLORIDA,regional-colleges-south,,FL,Graceville,32440,south,True,private,,#14,14,False,17,,100,12450,,,,405,,930,,930-1200,17-23
BAPTIST-HEALTH-SCIENCES-UNIVERSITY,health,,TN,Memphis,38104,,True,private,,Unranked,-2,False,,,35,13078,,,,910,,,,N/A,N/A
BAPTIST-MISSIONARY-ASSOCIATION-THEOLOGICAL-SEMINARY,faith,,TX,Jacksonville,75766,,True,private,,Unranked,-2,False,,,85,8850,,,,51,,,,N/A,N/A
BARCLAY-COLLEGE,regional-colleges-midwest,,KS,Haviland,,midwest,True,private,,#48,48,False,,,54,24990,,,,168,,,,N/A,N/A
BARD-COLLEGE,national-liberal-arts-colleges,,NY,Annandale on Hudson,12504,,True,private,,#72,72,False,,,60,60270,,,,2171,,,,N/A,N/A
BARD-COLLEGE-AT-SIMON'S-ROCK,regional-colleges-north,Bard College at Simons Rock,MA,Great Barrington,01230,north,True,private,,#32,32,True,,,34,66594,,,,304,,,,N/A,N/A
BARNARD-COLLEGE,national-liberal-arts-colleges,,NY,New York,10027,,True,private,,#11,11,True,32,,9,66246,,,,3442,,1440,,1440-1550,32-34
BARRY-UNIVERSITY,national-universities,,FL,Miami Shores,33161,,True,private,,#395-435,-1,False,17,,60,32500,,,,3122,2.0,880,,880-1070,17-22
BARTON-COLLEGE,regional-colleges-south,,NC,Wilson,27893,south,True,private,,#10,10,True,17,79,95,35600,3.2,,,1187,,970,25620.0,970-1150,17-23
BATES-COLLEGE,national-liberal-arts-colleges,,ME,Lewiston,04240,,True,private,,#24,24,False,31,40,14,63478,,,,1790,,1310,27515.0,1310-1505,31-33
BAYAMON-CENTRAL-UNIVERSITY,regional-universities-south,,PR,Bayamon,00960,south,True,private,,#123-135,-1,False,,,98,5594,,,,759,,,,N/A,N/A
BAYLOR-UNIVERSITY,national-universities,,TX,Waco,76798,,True,private,,#93,93,True,28,45,46,54844,,2.5,,15213,3.3,1230,43735.0,1230-1410,28-33
BAY-PATH-UNIVERSITY,regional-universities-north,,MA,Longmeadow,01106,north,True,private,,#123,123,True,,,75,37227,,,,1338,,1020,,1020-1140,N/A
BAY-STATE-COLLEGE,regional-colleges-north,,MA,Boston,02116,north,True,proprietary,,#41-44,-1,False,,,50,2900,,,,346,,,,N/A,N/A
BEACON-COLLEGE,regional-colleges-south,,FL,Leesburg,34748,south,True,private,,#3,3,True,,,52,47110,3.3,,,501,,,,N/A,N/A
BELHAVEN-UNIVERSITY,national-universities,,MS,Jackson,39202,,True,private,,#395-435,-1,False,18,,46,29195,3.5,,,1501,,980,,980-1200,18-24
BELLARMINE-UNIVERSITY,national-universities,,KY,Louisville,40205,,True,private,,#280,280,True,21,,88,46780,3.6,,,2343,2.1,1100,,1100-1290,21-27
BELLEVUE-COLLEGE,regional-colleges-west,,WA,Bellevue,98007,west,True,public,,Unranked,-2,False,,,,9838,,,,11546,,,,N/A,N/A
BELLEVUE-UNIVERSITY,regional-universities-midwest,,NE,Bellevue,68005,midwest,True,private,,#149-164,-1,False,,,,8790,,,,8903,,,,N/A,N/A
BELLIN-COLLEGE,health,,WI,Green Bay,54305,,True,private,,Unranked,-2,False,,,85,21900,,,,514,,,,N/A,N/A
BELLINGHAM-TECHNICAL-COLLEGE,regional-colleges-west,,WA,Bellingham,98225,west,True,public,,Unranked,-2,False,,,,5357,,,,1915,,,,N/A,N/A
BELMONT-ABBEY-COLLEGE,regional-colleges-south,,NC,Belmont,28012,south,True,private,,#30,30,True,18,54,97,19500,3.2,,,1475,,950,24090.0,950-1140,18-26
BELMONT-UNIVERSITY,national-universities,,TN,Nashville,37212,,True,private,,#236,236,True,24,,96,41320,3.8,,,7376,2.5,1150,,1150-1340,24-30
BELOIT-COLLEGE,national-liberal-arts-colleges,,WI,Beloit,53511,,True,private,,#86,86,True,26,67,66,58554,3.3,,,964,,1190,26988.0,1190-1360,26-31
BEMIDJI-STATE-UNIVERSITY,regional-universities-midwest,,MN,Bemidji,56601,midwest,True,public,,#83,83,True,19,,75,10130,,,,3877,,,,N/A,19-25
BENEDICT-COLLEGE,regional-colleges-south,,SC,Columbia,29204,south,True,private,,#86,86,True,14,,68,18000,3.2,< 2.0,,1796,,820,,820-1020,14-20
BENEDICTINE-COLLEGE,regional-colleges-midwest,,KS,Atchison,66002,midwest,True,private,,#8,8,True,22,58,100,35350,3.6,2.2,,2261,,1095,30033.0,1095-1350,22-28
BENEDICTINE-UNIVERSITY,regional-universities-midwest,,IL,Lisle,60532,midwest,True,private,,#56,56,True,19,47,93,34290,3.3,,,2042,,980,37730.0,980-1260,19-27
BENJAMIN-FRANKLIN-INSTITUTE-OF-TECHNOLOGY,regional-colleges-north,,MA,Boston,02116,north,True,private,,Unranked,-2,False,,,,18228,,2.1,,476,,,,N/A,N/A
BENNETT-COLLEGE,national-liberal-arts-colleges,,NC,Greensboro,27401,,True,private,,#180,180,True,,,79,18550,,,,207,,,,N/A,N/A
BENNINGTON-COLLEGE,national-liberal-arts-colleges,,VT,Bennington,05201,,True,private,,#112,112,True,29,,45,64644,3.6,,,785,,1260,,1260-1370,29-33
BENTLEY-UNIVERSITY,regional-universities-north,,MA,Waltham,02452,north,True,private,,#1,1,True,28,45,58,58610,,,,4131,3.2,1258,37913.0,1258-1420,28-32
BEREA-COLLEGE,national-liberal-arts-colleges,,KY,Berea,40404,,True,private,,#30,30,True,23,,25,726,3.6,,,1433,,1136,,1136-1298,23-27
BERKELEY-COLLEGE-(NJ),regional-universities-north,,NJ,Woodland Park,07424,north,True,proprietary,,#151-167,-1,False,,,90,28600,2.8,,,1944,,,,N/A,N/A
BERKELEY-COLLEGE-(NY),regional-colleges-north,,NY,New York,10017,north,True,proprietary,,#36,36,True,,,94,28600,2.5,,,1818,,,,N/A,N/A
BERKLEE-COLLEGE-OF-MUSIC,regional-universities-north,,MA,Boston,02215,north,True,private,,#39,39,True,,11,54,50270,,,,7499,,,64255.0,N/A,N/A
BERRY-COLLEGE,regional-universities-south,,GA,Mount Berry,30149,south,True,private,,#5,5,False,21,68,66,40416,3.8,,,2243,2.2,1110,25630.0,1110-1290,21-29
BETHANY-COLLEGE-(KS),regional-colleges-midwest,,KS,Lindsborg,67456,midwest,True,private,,#63,63,False,15,,66,31305,3.2,,,744,,882,,882-1020,15-22
BETHANY-COLLEGE-(WV),national-liberal-arts-colleges,,WV,Bethany,26032,,True,private,,#186-204,-1,False,18,,74,32640,,,,545,,870,,870-1110,18-26
BETHANY-LUTHERAN-COLLEGE,national-liberal-arts-colleges,,MN,Mankato,56001,,True,private,,#159,159,True,20,,58,30010,3.5,,,784,,990,,990-1290,20-25
BETHEL-COLLEGE,regional-colleges-midwest,,KS,North Newton,67117,midwest,True,private,,#23,23,True,18,66,97,34002,3.5,,,495,,850,40146.0,850-1070,18-24
BETHEL-UNIVERSITY-(IN),regional-universities-midwest,,IN,Mishawaka,46545,midwest,True,private,,#47,47,True,16,,99,33320,3.4,,,1150,,980,,980-1180,16-26
BETHEL-UNIVERSITY-(MN),national-universities,,MN,St. Paul,55112,,True,private,,#236,236,True,20,,72,42930,3.6,,,2533,,,,N/A,20-28
BETHEL-UNIVERSITY-(TN),regional-universities-south,,TN,McKenzie,38201,south,True,private,,#110,110,True,15,,47,18168,,,,2332,,,,N/A,15-21
BETHUNE-COOKMAN-UNIVERSITY,national-liberal-arts-colleges,Bethune Cookman University,FL,Daytona Beach,32114,,True,private,,#186-204,-1,False,15,,85,14794,3.3,2.0,,2628,,830,,830-980,15-18
BINGHAMTON-UNIVERSITY-SUNY,national-universities,Binghamton University SUNY Binghamton Binghamton University SUNY,NY,Binghamton,13902,,True,public,,#73,73,True,29,52,42,28203,3.9,2.5,,14402,2.9,1340,36941.0,1340-1510,29-34
BIOLA-UNIVERSITY,national-universities,,CA,La Mirada,90639,,True,private,,#236,236,True,23,,58,46704,0,,,3499,,1105,,1105-1365,23-30
BIRMINGHAM-SOUTHERN-COLLEGE,national-liberal-arts-colleges,Birmingham Southern College,AL,Birmingham,35254,,True,private,,#135,135,True,22,,57,22750,3.7,,,975,,1150,,1150-1280,22-29
BISMARCK-STATE-COLLEGE,regional-colleges-midwest,,ND,Bismarck,58506,midwest,True,public,,#39,39,False,16,,91,8790,,,,3771,,,,N/A,16-22
BLACKBURN-COLLEGE,regional-colleges-midwest,,IL,Carlinville,62626,midwest,True,private,,#35,35,False,16,,66,26758,,,,414,,888,,888-1125,16-24
BLACK-HILLS-STATE-UNIVERSITY,regional-universities-midwest,,SD,Spearfish,57799,midwest,True,public,,#145,145,True,18,,97,11866,,,,3261,< 2.0,990,,990-1140,18-25
BLESSING-RIEMAN-COLLEGE-OF-NURSING-AND-HEALTH-SCIENCES,health,Blessing Rieman College of Nursing,IL,Quincy,62305,,True,private,,Unranked,-2,False,,,,29180,,,,141,,,,N/A,N/A
BLUEFIELD-STATE-UNIVERSITY,regional-colleges-south,,WV,Bluefield,24701,south,True,public,,#57,57,True,17,,98,17100,3.4,,,1281,,880,,880-1110,17-23
BLUEFIELD-UNIVERSITY,regional-universities-south,,VA,Bluefield,24605,south,True,private,,#104,104,True,,,72,29420,,,,718,,,,N/A,N/A
BLUE-MOUNTAIN-CHRISTIAN-UNIVERSITY,regional-colleges-south,,MS,Blue Mountain,38610,south,True,private,,#17,17,True,18,75,96,19280,3.6,,,892,,1000,16432.0,1000-1140,18-25
BLUFFTON-UNIVERSITY,regional-colleges-midwest,,OH,Bluffton,45817,midwest,True,private,,#22,22,True,16,84,96,36298,,,,664,,843,23215.0,843-1192,16-24
BOB-JONES-UNIVERSITY,regional-universities-south,,SC,Greenville,29614,south,True,private,,#24,24,True,,68,89,23350,3.4,,,2665,,,20803.0,N/A,N/A
BOISE-STATE-UNIVERSITY,national-universities,,ID,Boise,83725,,True,public,,#332,332,True,20,,84,26976,3.5,2.4,,22962,2.6,950,,950-1200,20-27
BON-SECOURS-MEMORIAL-COLLEGE-OF-NURSING,health,,VA,Richmond,,,True,private,,Unranked,-2,False,,,,15300,,,,427,,,,N/A,N/A
BORICUA-COLLEGE,regional-colleges-north,,NY,New York,10032,north,True,private,,#23,23,True,,,,12025,,,,377,,,,N/A,N/A
BOSTON-ARCHITECTURAL-COLLEGE,specialty-arts,,MA,Boston,02115,,True,private,,Unranked,-2,False,,,,22144,,,,290,,,,N/A,N/A
BOSTON-COLLEGE,national-universities,BC,MA,Chestnut Hill,02467,,True,private,,#39,39,False,33,35,17,67680,,,,9484,3.7,1435,33985.0,1435-1540,33-35
